source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,fitted,33.45454545454545,0.6957394023360168,,0.5840022567055764,0.8074765479664573,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,34.2020202020202,0.697598922983396,,0.5913515367384335,0.8038463092283584,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,34.94949494949495,0.6993680503444839,,0.5982299289570634,0.8005061717319044,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,35.696969696969695,0.701052973923588,,0.6046785396020421,0.7974274082451339,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,36.44444444444444,0.7026593415053773,,0.6107320593508226,0.794586623659932,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,37.1919191919192,0.7041923164729916,,0.6164230628561389,0.7919615700898444,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,37.93939393939394,0.7056566280545664,,0.6217797747200642,0.7895334813890686,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,38.68686868686869,0.7070566154900645,,0.6268290505825848,0.7872841803975442,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,39.43434343434343,0.708396266955052,,0.6315934791236343,0.7851990547864697,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
real,LOGIS,f1_score,fitted,40.18181818181819,0.7096792539495468,,0.6360946796983219,0.7832638282007717,,fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | raw | offaug_AE_head_2 | CVAE1-100
