source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,fitted,26.95959595959596,0.5794479401312598,,-1.8890431659606293e+57,1.8890431659606293e+57,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,27.494949494949495,0.5794480666095007,,-7.477462531927491e+56,7.477462531927491e+56,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,28.03030303030303,0.5794481176310861,,-3.1484052766010484e+56,3.1484052766010484e+56,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,28.565656565656568,0.5794481385743342,,-1.5742026383005242e+56,1.5742026383005242e+56,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,29.1010101010101,0.5794481473161537,,-7.871013191502621e+55,7.871013191502621e+55,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,29.636363636363637,0.5794481510243171,,-3.9355065957513105e+55,3.9355065957513105e+55,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,30.17171717171717,0.5794481526218923,,0.5794481526218923,0.5794481526218923,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,30.707070707070706,0.579448153320557,,0.579448153320557,0.579448153320557,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,31.242424242424242,0.5794481536305514,,0.5794481536305514,0.5794481536305514,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,31.77777777777778,0.5794481537700277,,0.5794481537700277,0.5794481537700277,,fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | TC | offaug_none | CVAE1-200
