combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,status,title,html_relpath,png_relpath,points_relpath,seconds
fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | raw | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-50/points.csv,768.0
fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | raw | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-100/points.csv,768.5
fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | raw | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_AE_head_2/CVAE1-200/points.csv,995.1
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,SKCM | TC | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-50/points.csv,1312.7
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,SKCM | TC | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-100/points.csv,1234.6
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,SKCM | TC | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_none/CVAE1-200/points.csv,733.2
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-50/points.csv,832.1
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-100/points.csv,714.3
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/TC/offaug_AE_head_2/CVAE1-200/points.csv,705.3
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-50/points.csv,969.9
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-100/points.csv,760.2
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_none/CVAE1-200/points.csv,556.7
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-50/points.csv,749.0
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-100/points.csv,721.1
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/DESeq/offaug_AE_head_2/CVAE1-200/points.csv,721.8
